Name,Votes,percent_vote,inducted,yearID,votedBy,category
Carlos Beltrán,358,84.2,Y,2026,BBWAA,Player
Andruw Jones,333,78.4,Y,2026,BBWAA,Player
Chase Utley,251,59.1,N,2026,BBWAA,Player
Andy Pettitte,206,48.5,N,2026,BBWAA,Player
Félix Hernández,196,46.1,N,2026,BBWAA,Player
Alex Rodriguez,170,40,N,2026,BBWAA,Player
Manny Ramirez,165,38.8,N,2026,BBWAA,Player
Bobby Abreu,131,30.8,N,2026,BBWAA,Player
Jimmy Rollins,108,25.4,N,2026,BBWAA,Player
Cole Hamels,101,23.8,N,2026,BBWAA,Player
Dustin Pedroia,88,20.7,N,2026,BBWAA,Player
Mark Buehrle,85,20,N,2026,BBWAA,Player
Omar Vizquel,78,18.4,N,2026,BBWAA,Player
David Wright,63,14.8,N,2026,BBWAA,Player
Francisco Rodríguez,50,11.8,N,2026,BBWAA,Player
Torii Hunter,37,8.7,N,2026,BBWAA,Player
Ryan Braun,15,3.5,N,2026,BBWAA,Player
Edwin Encarnación,6,1.4,N,2026,BBWAA,Player
Shin-Soo Choo,3,0.7,N,2026,BBWAA,Player
Hunter Pence,2,0.5,N,2026,BBWAA,Player
Matt Kemp,2,0.5,N,2026,BBWAA,Player
Rick Porcello,2,0.5,N,2026,BBWAA,Player
Nick Markakis,1,0.2,N,2026,BBWAA,Player
Alex Gordon,1,0.2,N,2026,BBWAA,Player
Daniel Murphy,0,0,N,2026,BBWAA,Player
Howie Kendrick,0,0,N,2026,BBWAA,Player
Gio Gonzalez,0,0,N,2026,BBWAA,Player
